Kommunekode,Vejkode,Lokalitetsnavn,Lokalitetsnummer
958,350,Ukkusissat,1505
958,106,Illorsuit,1506
958,218,Nuugaatsiaq,1507
958,102,Upernavik,1600
958,103,Upernavik,1600
958,122,Upernavik,1600
958,138,Upernavik,1600
958,172,Upernavik,1600
958,194,Upernavik,1600
958,201,Upernavik,1600
958,211,Upernavik,1600
958,223,Upernavik,1600
958,226,Upernavik,1600
958,259,Upernavik,1600
958,261,Upernavik,1600
958,27,Upernavik,1600
958,286,Upernavik,1600
958,304,Upernavik,1600
958,316,Upernavik,1600
958,328,Upernavik,1600
958,329,Upernavik,1600
958,349,Upernavik,1600
958,351,Upernavik,1600
958,356,Upernavik,1600
958,38,Upernavik,1600
958,40,Upernavik,1600
958,44,Upernavik,1600
958,64,Upernavik,1600
958,85,Upernavik,1600
958,359,Upernavik Kujalleq,1601
958,157,Kangersuatsiaq,1602
958,5,Aappilattoq,1603
958,326,Tasiusaq,1605
958,220,Nuussuaq,1606
958,171,Kullorsuaq,1607
958,196,Naajaat,1608
958,114,Innaarsuit,1609
958,217,Nutaarmiut,1610
958,94,Ikerasaarsuk,1611
958,257,Qaanaaq,1700
958,301,Savissivik,1701
958,308,Siorapaluk,1704
958,271,Qeqertat,1707
956,11,Tasiilaq,1800
956,113,Tasiilaq,1800
956,119,Tasiilaq,1800
956,125,Tasiilaq,1800
956,131,Tasiilaq,1800
956,168,Tasiilaq,1800
956,169,Tasiilaq,1800
956,175,Tasiilaq,1800
956,185,Tasiilaq,1800
956,186,Tasiilaq,1800
956,187,Tasiilaq,1800
956,195,Tasiilaq,1800
956,215,Tasiilaq,1800
956,228,Tasiilaq,1800
956,242,Tasiilaq,1800
956,243,Tasiilaq,1800
956,27,Tasiilaq,1800
956,28,Tasiilaq,1800
956,287,Tasiilaq,1800
956,297,Tasiilaq,1800
956,314,Tasiilaq,1800
956,324,Tasiilaq,1800
956,331,Tasiilaq,1800
956,337,Tasiilaq,1800
956,48,Tasiilaq,1800
956,52,Tasiilaq,1800
956,54,Tasiilaq,1800
956,58,Tasiilaq,1800
956,72,Tasiilaq,1800
956,76,Tasiilaq,1800
956,79,Tasiilaq,1800
956,8,Tasiilaq,1800
956,83,Tasiilaq,1800
956,292,Sermiligaaq,1802
956,115,Isortoq,1803
956,160,Kulusuk,1804
956,163,Kulusuk,1804
956,322,Tiniteqilaaq,1805
956,166,Kuummiut,1806
956,1,Illoqqortoormiut,1900
956,10,Illoqqortoormiut,1900
956,112,Illoqqortoormiut,1900
956,129,Illoqqortoormiut,1900
956,176,Illoqqortoormiut,1900
956,179,Illoqqortoormiut,1900
956,21,Illoqqortoormiut,1900
956,250,Illoqqortoormiut,1900
956,274,Illoqqortoormiut,1900
956,277,Illoqqortoormiut,1900
956,290,Illoqqortoormiut,1900
956,317,Illoqqortoormiut,1900
956,73,Illoqqortoormiut,1900
956,178,Nerlerit Inaat,1906
955,101,Qaqortoq,200
955,111,Qaqortoq,200
955,12,Qaqortoq,200
955,128,Qaqortoq,200
955,129,Qaqortoq,200
955,13,Qaqortoq,200
955,131,Qaqortoq,200
955,142,Qaqortoq,200
955,147,Qaqortoq,200
955,148,Qaqortoq,200
955,151,Qaqortoq,200
955,152,Qaqortoq,200
955,153,Qaqortoq,200
955,157,Qaqortoq,200
955,175,Qaqortoq,200
955,176,Qaqortoq,200
955,177,Qaqortoq,200
